caption,label
I’m spending the summer in Mexico. I have a quesadilla there.,funny
How do I know they're mine?,funny
You say 'under water' like it's a bad thing.,funny
I’m going to be naked by the time this bus arrives!,funny
Funny.  He still looks orange.,funny
"Pistols were too messy, and dawn was too early.",funny
I used to be one of those climate change deniers.,funny
My biggest weakness? I’m bad with faces.,funny
I AM the lifeguard. I'm just working remotely...,funny
How could anyone ask if he's my emotional support animal.,funny
Wow! All the people down there look like you!,funny
Honey when I said we had to draw the line somewhere I didn’t mean through the living room,funny
They've already had lunch...,funny
This will teach him that financial security will always be just out of reach.,funny
"Don't ask me, I'm still trying to find the bathroom.",funny
The lunch slot’s always a tough gig.,funny
Fish or cut bait? You think that’s funny Johnson?,funny
We are but specks of dust in the expanse of the infinite cosmos.  Can I sniff your butt?,funny
"Look, I give you cheese, you get me out",funny
It came free with a Wall Street Journal subscription.,funny
We’re so polarized.,funny
I got tired of Pad Thai.,funny
"Alright listen, I’ve got hypoallergenic, hyper-allergenic, and your classic regular allergenic.",funny
I'm taking swimming lessons online.,funny
Will they all hatch before we land?,funny
"""It's a highly polarized narrative.""",funny
The growth hormone study?  That's cubicle 4.,funny
I work in liquid assets.,funny
That place has great takeout.,funny
I figure if playing Mozart to your kid makes him an artist . . .,funny
I want more respect from the dogs.,funny
...and I'm constantly being mooned!,funny
Don't worry. They're probably still full from the keynote speaker.,funny
"What's better in a plane crash, an endoskeleton or an exoskeleton?",funny
My greatest strength . . . transparency.,funny
"And my thanks to Joe, who got me off the hook.",funny
"Yes, I need the extra legs room.",funny
Those aren’t olives.,funny
The goal is to find the cheese and avoid Brenda in accounting.,funny
Why do I feel like I'm the only one committed to this think tank?,funny
Let's hope this is just the tip of the Jarlsberg.,funny
"When they said the glasses were polarized, I had no idea.",funny
The guy behind you must be an Independent.,funny
"Don't worry, 'lunch is provided' didn't mean you.",funny
Should we check out the snack bar?,funny
I think it’s safe to say this town is big enough for both of them.,funny
I know.  It's always tougher speaking before lunch.,funny
‘Soft Serve is not a confidence building name…’,funny
You seemed better on paper,funny
"Excuse me, but there's plastic in my water.",funny
We have to let you go.  You’ve outgrown your position here.,funny
Hopefully it will stimulate growth.,funny
"Sorry, no. I've never read Kafka.",funny
I’ll be blunt. The company’s underwater.,funny
You try cooking for a thousand tadpoles.,funny
"Maybe, sweetie, it's time we moved out of  Texas.",funny
I'm very sorry but you are in the work-from-home lane.,funny
Frankly both of these boys are built for polo.,funny
Don't even think of lying to me.  I can see right through you.,funny
I have to watch what I drink—I’m bipolar.,funny
"Not only is it fashionable, it’s fur lined.",funny
They wouldn’t last a day in Times Square.,funny
The height adjusts itself automatically with the inflation rate.,funny
First date. Tree hugger.,funny
The janitor couldn't figure it our either...,funny
This proves unequivocally that the glass is half full,funny
I told ye a Muenster roamed these seas!,funny
They fly all this way just to say they ate in the Hamptons.,funny
My wife told me I've been spending too much time in the office.,funny
I’m in submergers and acquisitions.,funny
Climate change? I'm beginning to think there's a kernel of truth to it.,funny
Should we scrap our dinner plans or plan our dinner scraps?”,funny
Just stand very still while you're speaking.,funny
By the time this heat wave ends we'll be both naked.,funny
Sorry - I shouldn't have popped off like that.,funny
''These were only used during Covid'',funny
Welcome to Texas!,funny
Pretty soon we'll be handing out participation trophies.,funny
"See, this is why you don't substitute butter for sunscreen.",funny
Don’t have to use the bathroom. Don’t have to use bathroom.,funny
"Lady, you want to talk about leg room?",funny
We need you to stop evolving.,funny
I can see why you’d opt for air travel over your long tunnel commutes.,funny
I’m pretty sure the phone company overcharged us.,funny
"Remember, it's about the journey, not the destination.",funny
"From my perspective,If we don’t get this right, we are all going down the toilet.",funny
"Wow.  From up here those people look like . . . uh, sorry.",funny
"Yes, I guess I could install a doggie door.",funny
Flying these days is certainly no picnic.,funny
The answer is still “42”!,funny
I was chosen for the board.,funny
"There you go, popping off about nothing again.",funny
"Yes, they finally expanded their delivery area.",funny
"I don’t know what it is but the moon is really hitting your eye, tonight.",funny
She wanted her own little slice of paradise.,funny
We should try a local place tonight.,funny
I did not go off on a tangent.,funny
"You're not going like THAT, are you?",funny
Things get more interesting at noon.,funny
"On a scale of 1 to 10, how likely are you to recommend this pool to a friend or colleague?",funny
And then I found out she was lactose intolerant.,funny
I told you to pop before we left the house.,funny
I think we misunderstood Pride Event.,funny
And the winner for best impala chaser of the year is…,funny
Most of this is above me.,funny
Fox News said it was a vaccine side effect.,funny
I think we’re gonna need more crackers.,funny
We're transferring you to the New York subway.,funny
It’ll go down in the books as the shootout at the Croquet Corral.,funny
Want to check out the local cuisine?,funny
Can I be totally transparent with you?,funny
"Don't worry...this is the after-dinner speech, remember?",funny
Family reunion picnic.  And you?,funny
I prefer 'bankrupt' to 'belly up.',funny
I'll go start the car.,funny
I hope we don't get some weirdo in the middle seat!,funny
Just creating my new WiFi password.,funny
I hope they don't get our meals mixed up!,funny
Did you forget to put sunscreen on your ear?”,funny
"She said I was too cold, but at least the kids still love me.",funny
You're concerned about a lack of privacy!!!,funny
Is it just me or have movies gotten way too political?,funny
My doctor told me to spend more time in the pool.,funny
We're testing to see whether size really does matter.,funny
Relax. You have their total attention.,funny
I’ve decided to take the high road.,funny
I need to look professional. I don't want to get axed.,funny
I can't get a dog but you adopt a highway.,funny
"Yes, it is a maze. No, there are no winners in a rat race.",funny
Thanks for being willing to work through lunch. I'll have Catering sprinkle it on us at 12:30.,funny
I think you're taking the genre a bit too literally.,funny
Well it’s either a lunar eclipse or I have glaucoma.,funny
We’re going to need a bigger board.,funny
"Okay, you were right. We should have dressed as zucchini.",funny
I think this might actually be a GOOD time to yell fire in a crowded theater.,funny
"Global warming, movie night… what difference does it make? It all ends the same way for us.",funny
I’m beginning to think there’s a kernel of truth to this whole global warming thing.,funny
And so we know Twitter is X.,funny
"Visiting a great ant in Chernobyl, and you?",funny
Why do you make everything into one big problem?,funny
You know what's REALLY dolphin safe? Chicken.,funny
I finally figured out when I’m gonna pay off my student loans.,funny
They only want me for one thing,funny
"Marriage is a journey, Frank, not a destination.",funny
This is where it gets really exciting.,funny
I don't think those pills were dramamine,funny
Yes Orvill. It is hot enough for me. Thanks ever so much for asking.,funny
This is not going to be a picnic,funny
My prime concern is our lack of liquidity.,funny
"Hear that Bob, that's the sound of climate change.",funny
Today's forecast called for 4 minutes on high.,funny
Should we add a bike lane?,funny
You looked smaller on the ground.,funny
I'm thinking you're not on the placebo mixture.,funny
"For you, it’s cheese. Me, it’s tenure.",funny
"This way, we'll all be crying about the same thing.”",funny
"So, we're all agreed, we're now Goldfish Sachs?",funny
Everyone on my call assumes it's a virtual background.,funny
"The bus will be here in a jiffy, Pop.",funny
We were downsized.,funny
"Oh, like you've never popped in public before.",funny
I know how this looks but I swear it was there last night,funny
"When mallets are outlawed, only outlaws will have mallets.",funny
Thar she blows--the muenster from the deep!,funny
I hear it's even worse for the eggs.,funny
What is your best feature?,funny
Mozart's Requiem -- on an electric guitar???,funny
"If you want to be left alone, carry a book, they said.  It works.",funny
I think these are polarized.”,funny
Does this tie make me look too deciduous?,funny
They’re loading the biggest bag of sugar I’ve ever seen onto the plane right now.,funny
I think you're  oversimplifying.,funny
"I thought it was the ""other"" Lions Club.",funny
I'd like to see one of them tackle a thick-crust.,funny
"Just remember, they are not a captive audience.",funny
You keep saying we’re under water like it’s a bad thing.,funny
"It's not ""my friend"", it's a desk lamp.",funny
"Well, I do admire your transparency.",funny
"Artists on strike, go figure",funny
I'm so glad we got rid of that tollbooth.,funny
Turns out the town WAS big enough for the both of  them.,funny
"'I scream inside my head, all the time..'",funny
It totally works. They all think it's a virtual background.,funny
At least you don’t have to worry about keeping their attention.,funny
"You don't bug me, I don't bug you.",funny
You catch more flies with pizza.,funny
Megan suddenly realized that the pre-flight LSD was an unwise decision.,funny
Who knew? You can gerrymander a theatre.,funny
It’s the algorithm to reach a live person at the cable company,funny
Look! Look!  The Hokey Pokey IS what it's all about!,funny
A pound of Gruyere if you show me the way out.,funny
The buffet looks promising.,funny
Allow me to fill you in.,funny
the carpet cleaners are just going to do the high traffic areas,funny
Are you working from home full time now?,funny
I heard I’m being considered for a cabinet post.,funny
Do you like what I’ve done with the pad?,funny
Want anything from the snack bar?,funny
You think it just rains these things?,funny
"Remind me, what was the question?",funny
"This way, you only see the content that you agree with.",funny
"Yep, we're screwed.",funny
"Psst. Hey buddy, $10 each, or if you take them all, I'll give you $50.",funny
They'll eat it up!!!  Don't worry!,funny
Momma always told me I’d make a fine dresser.,funny
"I scream, you scream, we all scream. It’s like no one has actual conversations anymore.",funny
"Buffett if it’s a girl, Warren if it’s a boy.",funny
"I cannot say what’s at the end of the maze, but I will say it pairs wonderfully with the mouth-drying tannins of a full-bodied Cabernet Sauvignon.",funny
"Our business vision: ""Don't give a man a fish and under no circumstances teach him how to fish""",funny
"At this point, I think I'm just gonna file for an extension on my 2023 taxes.",funny
So my wife said 'prove I'm wrong',funny
I'm sure my calculations are correct... I just forgot what the question was.,funny
You've outgrown the position.,funny
"It's been a rough week doc, I'm taking a big licking.",funny
"If you wanted me to jump, you could've just pushed me.",funny
I keep thinking I’m going soft in the head.,funny
It's the Lions Club.  What did you expect?  Gophers?,funny
Appeal to their pride.,funny
"Why did you pick ""The Story of the Republican Party"" in 3 D? There's no depth, there's no perception, and there is definitely NO action.",funny
Wait.  We can't attack them.  They're neutral.,funny
Of course global warming has me concerned!,funny
Yours is the worst case of identity theft we've seen.,funny
I see an everything bagel.  What do you see?,funny
They also had one made of happiness.,funny
Those sea gulls.  They'll eat anything!,funny
They say boredom never killed anyone. Wanna bet?,funny
I’m here to conduct your exit interview.,funny
I’m almost croaked when I heard they delivered.,funny
Can't talk now. I'm waist-deep at work.,funny
"And then the Sun says to me, “Actually your life does revolve around me.”",funny
I’m working on my key stroke.,funny
The way they’re staring at me makes me feel like a piece of meat,funny
I thought only the females could fly.,funny
In the afternoon I swim remotely.,funny
'Coworkers have been complaining about your constant lack of detail.',funny
I still think we need a bike lane.,funny
You think you're drowning? You should see my inbox...,funny
I've always wanted my very own bed and breakfast.,funny
"Yes it could fall and kill her, but that's capitalism in a nutshell, Diane",funny
"Oh, don’t give me that crap about the glass ceiling, Linda.",funny
It might help to picture them stuffed and mounted.,funny
I think moving to Texas was a big mistake,funny
We can check out Yelp but it looks like it’s popular with the locals.,funny
At least the scythe was quieter!,funny
I finally have the answer but forget what the question is.,funny
It feels like a microwave out here.,funny
Flying makes me antsy. Do you feel antsy? I feel antsy.,funny
"If I don’t write down my strong password, I’ll never remember it.",funny
I’m usually naked in this dream.,funny
I'll be backstage.  Way backstage.,funny
How did we end up in Texas?,funny
It’s sync or swim.,funny
"Sorry Bob, our records show that your vacation is NEXT week.",funny
I can lift 5000 times my bodyweight. Don't worry about the exit door.,funny
My wife complains that I'm cold and self-serving.,funny
I'd ask directions but I'm a man.,funny
Remind me of your pronouns?,funny
I've forgotten what I was trying to prove.,funny
Ya gotta have balls to show up at the “Croquet Corral”!,funny
"I’m great in the morning, but by lunchtime I’m all over the place.",funny
"I don’t know, Steve, please tell me: how hot is it?",funny
I just hope to die before pickle ball comes to town.,funny
It's so scary when trump jumps right off the screen!,funny
"Okay, I’ll give you the full scoop.",funny
"We don't need sunscreen,"" you said! ""What's the worst that could happen?"" you said",funny
Resigning? We were hoping you’d stick around.,funny
And when did you first realize that you were self-serving?,funny
"Everyone feels sorry for the kid who dropped the ice cream, but no one ever asks, “Is the ice cream OK?”",funny
Do you have the rings.,funny
I can’t believe your rereading Metamorphosis.,funny
They keep referring to me as Cohen. It's Cone.,funny
"For just once, I’d like it if things didn’t revolve around me",funny
It's never too soon for her to learn that wealth is always just out of reach.,funny
In-laws have allergies? I've got what you need.,funny
'This way I can have my pad and eat it too',funny
Go ask Alice. I think she'll know...,funny
and your relatives criticize me?,funny
I’m not hallucinating—people speak to me in tongues.,funny
I might be out of my depth.,funny
"I gotta say, it sure does attract flies.",funny
I Shih Tzu not.,funny
You're not entitled to more armrests just because you have more arms.,funny
We must be directly over where Wisconsin used to be.,funny
What's a bathroom break?,funny
"Suddenly, choosing the row with the most leg room seemed like a bad idea.",funny
"You're named after that one, Spot.",funny
They're progressive lenses.,funny
Try not to do that deer in the spotlight thing again,funny
Who would have thought it could be so simple?,funny
Maybe I shouldn’t have introduced you as a fresh up-and-comer.,funny
Please tell me you're travelling alone!!,funny
"In my day, we used a stick and a tumbleweed.",funny
Johnson check this out - a bird in the hand is actually worth 2.875 in the bush!,funny
Let’s get upstairs before the evening commute.,funny
Can you not retain a single kernel of self-control?,funny
Is it just me or do you also have strong urge to sniff it?,funny
Rock-a-bye baby in the tree top: when the Dow falls the Nasdaq will pop…,funny
I turn around and the day is gone.,funny
She said our love life is too vanilla.,funny
Is the whole room spinning or is it just me?,funny
I understand you do a wicked imitation of a coat rack.,funny
Still in denial about climate change?,funny
We should get started on dinner before rush hour.,funny
It usually doesn't happen this fast on a first date.,funny
Babies need a lot of stimulus.,funny
And this is how we know that butter is no substitute for sunscreen.,funny
It's called mobile banking... what do you think,funny
"Uh Paul? I asked you what time is it, not what is time.",funny
I have so many swirling thoughts.,funny
It's much nicer flying Economy than Windshield.,funny
"Take it from me, there’s no better way to feel warm and fuzzy inside.",funny
"Well, in a black hole the gravitational pull is so intense that nothing, not even light, can escape. So yeah, I think your ball is gone.",funny
I think we're making headway on gun control.,funny
"For an extra hundred, it's a licensed emotional support pet your landlord can't evict.",funny
Your body of work lacks depth,funny
There’s an app for that.,funny
Sorry. It just popped out of my mouth.,funny
"This vacation’s been fun, but I’m ready for a home-rotted meal.",funny
I also don't know why the schedule has this time slot as 'Lunch' but don't worry about it,funny
I realize my resume is a bit thin.  But it is me.,funny
"As your lawyer, I'm obligated to inform you that calling it the breast stroke is what got you in trouble with HR.",funny
You've made it to the end. Would you mind taking an exit poll?,funny
Steroids in the cheese?  Why do you ask?,funny
I’m just a guy- Standing in front of a mouse- Asking her to get me out of this IKEA.,funny
OK. I admit it. I was wrong to doubt climate change.,funny
"Let the other law firms have their sharks.  Here at Gillfin & Fishman, we make our living from consistent and sustained bottom feeding.",funny
"Look, pal — I know when something is seventy percent water.",funny
Everything I drink goes to my equator.”,funny
"Unfortunately, we're looking for someone of more substance",funny
I’m pretty sure we’re not in the control group.,funny
I mean what are we all screaming for really?,funny
I want our baby to grow up knowing wealth is just out of reach,funny
Mama said there’d be maize like this.,funny
"Yes, you’re hot. I get it.",funny
When you said I would be addressing the Lions’ Club….,funny
I understand you have a complaint concerning our Weight Watchers products.,funny
I've a better idea.  Start talking about quantum physics.  It will put them all to sleep.,funny
She left me for someone cooler.,funny
…and then just as they were about to dip my head in butterscotch I wake up.,funny
So that's what mobile banking looks like!,funny
"And to top it off, I only see my kids on sundaes.",funny
Hold all my calls — unless it's Oslo.,funny
It's an Upwardly Mobile mobile.,funny
Neither good nor bad nor ugly. Dang pathetic though.,funny
"So, I think we should just try turning it off then back on again.",funny
I highly doubt they’re still hungry after the last two speakers.,funny
Do you mind? I'm in a meeting.,funny
Should we merge and have dinner?,funny
I told you butter as a sunscreen was a bad idea.,funny
Thirty years ago I was way cooler.,funny
"The difference is, I know I'm in the bowl.",funny
"Yes sir, as ridiculous as it may seem, it is our Banks position that you are indeed overdrawn.",funny
It’s like you can reach out and touch the indictments.,funny
I assume the rest of you will be working from home,funny
Who’s side are you on anyway?,funny
Let it pass. We have Brie.,funny
"Next time, let's just go to Costco.",funny
"Nah, I hate it.  But all my favorite foods love it.",funny
I hope you have a lovely time at the family picnic.,funny
Movie night at the Senate.,funny
"Look, I'm gonna be straight with you; there's no way out.""",funny
This is depressing. Let's try the rose-colored glasses.,funny
"Maybe don't start with ""let us Pray...""",funny
I'm trying to be more poplar.,funny
"Now that you mention it, maybe that chocolate shell wasn’t really protecting me from the world after all",funny
I think we all know where I stand on the 'Working from home' issue.,funny
Going to visit my aunt. And you?,funny
Please erase the board for the next class.,funny
"This is embarrassing, but can you help me find the way out?",funny
It just feels like I’ve been going in circles for years.,funny
I figured out how to unsubscribe!,funny
Easy as π!,funny
The only way to stop a bad guy with a mallet is a good guy with a mallet.,funny
I don't think I'll ever understand how this Iowa caucus works.,funny
I finally figured out how to unsubscribe from Instagram!,funny
Did you bring Occam’s eraser?,funny
I love a good shoot-out at the Croquet Corral.,funny
"Who, who told you there would be cheese?",funny
"So I say to the guy, “YOU try having Florida stuck to your ass all day.”",funny
Not voices exactly. It's more of a jingle.,funny
I heard you were hiring for the 'Walk/Don't Walk' position.,funny
"Let's retire in Arizona!"" you said",funny
Behold! I've wasted both time and space.,funny
I've reset our Netflix password.,funny
"As you can see, when I began solving this problem I was a lot taller.",funny
So this isn't the applicant pool?,funny
My hearing is going. Thought Wyatt said  OK Corral not Croquet with Al.,funny
We’ll fill you in as the weeks go by.,funny
Take as long as you need-- there's no cat the first time.,funny
I never said this would be a picnic.,funny
Maybe global warming has a kernel of truth.,funny
Careful—that could just be the tip of the Jarlsberg!,funny
Didn't I tell you adopting a highway would be easier than a kid?,funny
It's one teaspoon not one tablespoon!,funny
"Really?  Do I have to draw you a picture?""",funny
It’s an honor to work with a giant in the field.,funny
"I'm gonna go get a cafe au lait and a croisssant, want anything?",funny
The rest areas were a stroke of genius…,funny
Math is next door. This is the Art Department.,funny
And the tip works out to $4.38,funny
You have to admire their undiscerning palate.”,funny
"Hey buddy, can I interest you in 10-15 years of responsibility that will inevitably end in total heartbreak?",funny
The last guy in this job went off the deep end.,funny
It’s just that there’s so much swirling in my head right now.,funny
"Ordinarily I'd be interested, but we're on vacation.",funny
I hate flying ants.,funny
"It turns out it is the heat, not the humidity.",funny
"I am orange with a primitive brain, therefore I must be qualified to lead you.",funny
I'm sorry.  I had you penciled in for next week.,funny
Can't you just write me a prescription for more sprinkles?,funny
"In my defense, butter looks very similar to sunblock.",funny
"Yes, it's my first company picnic.  Why do you ask?",funny
My first directive will be no more flush toilets.,funny
Who better to be the new face of our shell company?”,funny
We do have a position available on our restroom door.,funny
"You go first, I insist.",funny
"I bet you like turbulence, because it makes people spill stuff.",funny
Remember when we were young and poor?,funny
I prefer the keystroke.,funny
Now do you believe that Climate Change is real?,funny
"Take it from me, people are going to start trying to butter you up.",funny
Do these glasses make me look liberal?,funny
It’s mostly water weight.,funny
Dinner? I'm on it.,funny
This shucks,funny
Just updating my password.,funny
"Davy Croquet, king of the wild frontier",funny
"How to be a caption finalist: A) Have a weekly podcast (to promote your captions); and, B) Submit each caption, several times (using different email addresses); so that voters won’t have to wade through thousands of entries, to get to your caption.",funny
We should try that place; the locals won’t stop screaming about it.,funny
"If this heat wave keeps up, I'll be naked by noon.",funny
It’s hot flashes.,funny
"New York is great, but I do miss Chicago.",funny
"Of course, the queen is up in first.",funny
"I got watch-dogs, watch-cats and watches.",funny
He has a good point but we can only circle back around so many times,funny
I'd like to stay but I've got to run.,funny
"I can see right through you, Kevin.",funny
We had another fight about the thermostat.,funny
"If there’s no other business,  I’ve got a 3:00 meeting in the water cooler.",funny
These are the offices. Labs are on the next floor.,funny
"Son, you were an experiment.”",funny
"I don’t care what happens in the movie — you’re just a janitor, you can’t keep doing this!",funny
They asked if I'd be willing to uproot.”,funny
"When they asked if I would mind sitting next to someone's aunt, I had no idea what they meant.",funny
"No, they're not ""hot"", just warm ...and cuddly.",funny
It just depends on what you're looking for -- unconditional adoration or soul-crushing disregard.,funny
I'll pencil you in for Tuesday.,funny
"Well, you look good on paper.",funny
Cut right to the chase.,funny
"So then, I turned around and caught them together—the light of my life and the freaking moon.",funny
Could you all turn around? I have to go to the bathroom.,funny
Just tell them why you've chosen to run.,funny
It sure beats having an elephant in the room.,funny
I could use a little more ice,funny
Where do you see yourself five turns from now?,funny
It’ll be over before you know it.,funny
"Think outside the bowl, people.",funny
Where do you barely see yourself in ten years?,funny
And I'm the dirty one?,funny
"Italian design, right on the lake, and the price was right.",funny
If ever there was a need for a SWAT team …,funny
I quite enjoy Kafka,funny
I'll be right back.,funny
Does this make my trunk look bigger?,funny
THEY ARE HERE TO INSTALL THE WHITE BOARD,funny
That would pair well with a great white.,funny
Tell me about a time you were bent out of shape.,funny
"We agreed you'd wear pants, Frank.",funny
"Tell the jerk next to you to stop muttering the bad guy looks like Hunter Biden, when we all know he looks like Trump.",funny
I'll take another hurricane.,funny
I know it's hard to present before lunch.,funny
"My qualifications? I previously led a large school, went with the flow, and rose to the top!",funny
"Unfortunately, you failed the facial recognition test.",funny
Let me show you to your cubicle. This place can be a bit of a maze.,funny
"Is it just me, or are we going round in circles here?",funny
They told us that this carpet will stand up well to heavy traffic.”,funny
"Immersion therapy isn’t meant to be comfortable, Verne.",funny
What do you feel qualifies you to work for Weight Watchers Inc?,funny
Sundaes are the worst.,funny
I hate this shucking weather.,funny
"We value transparency, Mr. Smith, but we’re looking for a little bit more",funny
A hot planet walks into a bar and no one seems to care. Get it?,funny
"Okay, but is it scalable?",funny
"A time I overcame adversity? Well, I survived the gallows.",funny
"Of course, there is a one-year warranty. For dogs, you divide by seven and for cats, multiply by nine.",funny
I need to re-apply my butter.,funny
Something tells me we got booked for the wrong Pride Week!,funny
Looks like Elon missed a spot.,funny
"You find the cheese, I'll find the wine and we'll meet back here.",funny
"You'd better get with the gentrification program, or you're firewood.",funny
You can stop now. We figured out why the chicken crossed the road.,funny
I could never eat straight out of the can.,funny
It's the dress code for branch managers.,funny
"When you said you were a “work in progress,” I thought you meant metaphorically.",funny
"Not accusing you,but did you move my cheese?",funny
Please put your antennae in airplane mode.,funny
These meetings were so much easier on the golf course…,funny
It’s supposed to be over Miami.  But the black hole over Mar-a-Lago sucked it in.,funny
"Okay, good. Now, Janet would like you to find her stapler.",funny
"Lately, my meltdowns are coming more frequently.",funny
Don’t leave the audience wanting more.,funny
"In this business, it’s sink or swim.",funny
First time in Texas?,funny
Now You Know What It Feels Like To Be a Democrat In Texas!,funny
That's why I ride side-saddle.,funny
"The restroom?  Third door on your right, then left, left again, then right, right and left. You can’t miss it.",funny
Venus is beautiful but extremely toxic. We haven't been together since the birth of our sun.,funny
I always leave a little room for doubt.,funny
You're sitting on my side salad.,funny
I got the job after the other guy got the axe.,funny
Finally something that makes sense!,funny
I recommend full coverage.,funny
"Great, now she'll just think it falls from the sky.",funny
Can you put your finger right here?  I really have to pee.,funny
"If we hadn't got into Crypto when we did, that could have been us.",funny
"I hate it when these seat belts won't fit over your thorax, don't you?",funny
My childhood consisted of one licking after another.,funny
The problem is that your resume is a little sketchy.,funny
I never dreamed that I would be flying with the Queen.,funny
One day you wake up and realize that there are no sprinkles.,funny
Why do I always sit next to the guy who takes off his shoes?!,funny
"I'm ok most of the week, but I dread every Sundae.",funny
"Ah, I love the extra legs room.",funny
Give me another one. My doctor just told me I don't have long to live!,funny
"Careful boys, that might only be the tip of the Jarlsberg…",funny
Maybe we should just take the standard deduction,funny
You must appreciate the extra leg room.,funny
"Pretty soon, it’ll be Gucci, Gucci, goo.",funny
Elon hired me to solve for X.,funny
"Attention, passengers: please turn off your sensory devices.”",funny
I think I figured out an acceptable password,funny
When you’re white you can get away with that.,funny
Corn on the curb,funny
They’re polarizing lenses”,funny
Operation Support Us In Our Old Age begins now.,funny
It's like a microwave out here!,funny
It's better than Starbucks because I never have to go to the restroom.,funny
Remember. They can sense fear.,funny
... and your pronouns?,funny
I just figured out how to kill time.,funny
Turns out that a bird in the hand is only worth 1.362 in the bush.,funny
I hate the undecideds even more.”,funny
