AllPunc,Linguistic,function,verb,BigWords,pronoun,Dic,det,Analytic,ppron,Period,auxverb,WPS,Authentic,prep,WC,Social,Cognition,Perception,allure,cogproc,article,focuspresent,Clout,ipron,i,adverb,adj,socrefs,Apostro,label,mean
15.38,53.85,53.85,7.69,7.69,15.38,69.23,23.08,74.95,7.69,7.69,7.69,13.0,98.89,15.38,13,0.0,23.08,7.69,7.69,15.38,7.69,7.69,7.93,7.69,7.69,7.69,0.0,0.0,7.69,funny,1.5084033613445378
83.33,50.0,50.0,33.33,66.67,16.67,66.67,0.0,1.0,16.67,16.67,33.33,6.0,39.59,0.0,6,16.67,0.0,16.67,0.0,0.0,0.0,0.0,99.0,0.0,0.0,16.67,0.0,16.67,16.67,funny,1.5844298245614037
29.41,47.06,41.18,5.88,17.65,11.76,82.35,11.76,79.1,11.76,5.88,5.88,17.0,12.44,11.76,17,29.41,5.88,5.88,5.88,0.0,5.88,5.88,99.0,0.0,0.0,0.0,5.88,17.65,5.88,funny,1.6832684824902724
14.29,85.71,71.43,28.57,14.29,42.86,100.0,14.29,1.0,28.57,0.0,14.29,7.0,99.0,14.29,7,0.0,14.29,14.29,14.29,14.29,0.0,14.29,1.0,14.29,28.57,14.29,0.0,0.0,14.29,funny,1.5620473201352003
20.0,80.0,60.0,30.0,30.0,10.0,80.0,20.0,89.52,0.0,10.0,20.0,10.0,63.35,20.0,10,0.0,20.0,20.0,0.0,20.0,10.0,0.0,40.06,10.0,0.0,0.0,20.0,0.0,0.0,funny,1.5766738660907127
50.0,75.0,75.0,25.0,0.0,25.0,75.0,50.0,1.0,0.0,0.0,25.0,4.0,1.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,25.0,40.06,25.0,0.0,0.0,25.0,0.0,25.0,funny,1.5942219304005252
41.67,75.0,58.33,25.0,16.67,8.33,83.33,25.0,89.52,0.0,8.33,16.67,12.0,39.59,16.67,12,0.0,8.33,0.0,8.33,8.33,16.67,0.0,40.06,8.33,0.0,0.0,0.0,0.0,25.0,funny,1.5527538155275382
50.0,75.0,50.0,50.0,0.0,25.0,75.0,25.0,1.0,25.0,25.0,25.0,4.0,1.0,0.0,4,25.0,25.0,0.0,0.0,0.0,0.0,25.0,99.0,0.0,0.0,0.0,0.0,25.0,25.0,funny,1.5496774193548386
50.0,50.0,50.0,25.0,0.0,25.0,75.0,0.0,26.1,25.0,25.0,25.0,4.0,1.0,25.0,4,25.0,0.0,0.0,0.0,0.0,0.0,25.0,99.0,0.0,0.0,0.0,0.0,25.0,25.0,funny,1.52549231184246
33.33,83.33,66.67,33.33,0.0,50.0,100.0,16.67,1.0,33.33,16.67,16.67,6.0,39.59,16.67,6,16.67,0.0,0.0,0.0,0.0,0.0,16.67,98.75,16.67,16.67,0.0,0.0,16.67,16.67,funny,1.6001195457262405
40.0,60.0,30.0,0.0,10.0,10.0,80.0,0.0,15.41,10.0,10.0,0.0,10.0,7.03,0.0,10,10.0,0.0,20.0,10.0,0.0,0.0,0.0,89.5,0.0,0.0,10.0,30.0,10.0,0.0,funny,1.619607843137255
33.33,66.67,33.33,33.33,33.33,0.0,66.67,0.0,99.0,0.0,0.0,0.0,3.0,99.0,33.33,3,0.0,33.33,33.33,66.67,33.33,0.0,33.33,40.06,0.0,0.0,0.0,0.0,0.0,0.0,funny,1.620903454384411
25.0,75.0,50.0,25.0,0.0,0.0,100.0,0.0,99.0,0.0,0.0,0.0,4.0,89.39,50.0,4,0.0,25.0,25.0,25.0,25.0,0.0,0.0,40.06,0.0,0.0,0.0,0.0,0.0,0.0,funny,1.5360230547550433
36.36,72.73,54.55,18.18,18.18,18.18,81.82,9.09,20.83,9.09,18.18,18.18,5.5,50.45,9.09,11,9.09,9.09,0.0,0.0,9.09,9.09,9.09,99.0,9.09,0.0,9.09,18.18,9.09,9.09,funny,1.5488721804511278
27.27,81.82,54.55,36.36,0.0,36.36,100.0,9.09,1.0,18.18,9.09,18.18,11.0,99.0,9.09,11,9.09,18.18,9.09,0.0,18.18,0.0,18.18,5.27,18.18,9.09,0.0,9.09,9.09,18.18,funny,1.517150395778364
16.67,66.67,33.33,16.67,0.0,0.0,83.33,16.67,99.0,0.0,16.67,0.0,6.0,39.59,16.67,6,16.67,0.0,16.67,33.33,0.0,16.67,0.0,40.06,0.0,0.0,0.0,33.33,0.0,0.0,funny,1.6140350877192982
14.29,85.71,57.14,28.57,14.29,14.29,100.0,14.29,18.12,14.29,14.29,14.29,7.0,97.09,0.0,7,0.0,28.57,14.29,14.29,28.57,14.29,0.0,1.0,0.0,14.29,14.29,14.29,0.0,0.0,funny,1.5880092236740968
33.33,83.33,83.33,16.67,16.67,16.67,83.33,16.67,1.0,16.67,16.67,16.67,6.0,1.0,0.0,6,16.67,0.0,0.0,33.33,0.0,16.67,0.0,99.0,0.0,0.0,33.33,0.0,16.67,0.0,funny,1.6851008458035133
14.29,57.14,28.57,28.57,57.14,14.29,100.0,14.29,18.12,0.0,14.29,0.0,7.0,97.09,0.0,7,28.57,42.86,0.0,0.0,42.86,0.0,14.29,40.06,14.29,0.0,14.29,0.0,0.0,0.0,funny,1.5665566556655666
44.44,77.78,55.56,44.44,22.22,22.22,100.0,22.22,10.19,22.22,11.11,22.22,9.0,99.0,0.0,9,11.11,11.11,0.0,0.0,11.11,22.22,0.0,40.06,0.0,11.11,0.0,0.0,11.11,22.22,funny,1.5522995522995524
7.69,76.92,61.54,23.08,15.38,23.08,92.31,7.69,14.06,23.08,7.69,7.69,13.0,81.58,7.69,13,15.38,23.08,7.69,7.69,23.08,7.69,0.0,1.0,0.0,15.38,7.69,0.0,7.69,0.0,funny,1.6675862068965517
14.29,85.71,71.43,28.57,0.0,57.14,100.0,0.0,1.0,28.57,14.29,14.29,7.0,1.0,0.0,7,42.86,0.0,14.29,14.29,0.0,0.0,14.29,99.0,28.57,0.0,0.0,0.0,42.86,0.0,funny,1.5456545654565457
50.0,50.0,50.0,16.67,0.0,16.67,100.0,16.67,49.68,0.0,16.67,16.67,6.0,39.59,16.67,6,16.67,0.0,0.0,0.0,0.0,16.67,16.67,40.06,16.67,0.0,0.0,0.0,0.0,16.67,funny,1.6868225898459783
40.0,80.0,80.0,20.0,0.0,20.0,80.0,20.0,99.0,20.0,20.0,20.0,5.0,99.0,40.0,5,0.0,0.0,20.0,0.0,0.0,20.0,20.0,1.0,0.0,20.0,0.0,0.0,0.0,20.0,funny,1.563425627817128
25.0,75.0,50.0,33.33,25.0,25.0,83.33,8.33,1.0,25.0,8.33,8.33,12.0,99.0,8.33,12,8.33,16.67,8.33,0.0,16.67,0.0,8.33,6.61,0.0,16.67,16.67,0.0,8.33,8.33,funny,1.5380313199105144
11.11,77.78,55.56,22.22,44.44,11.11,88.89,33.33,10.19,0.0,11.11,11.11,9.0,1.0,0.0,9,11.11,0.0,0.0,0.0,0.0,0.0,11.11,40.06,11.11,0.0,0.0,33.33,0.0,0.0,funny,1.5288184438040346
21.43,78.57,64.29,21.43,0.0,21.43,85.71,21.43,18.12,21.43,14.29,14.29,7.0,99.0,14.29,14,0.0,14.29,0.0,14.29,14.29,7.14,7.14,1.0,0.0,21.43,0.0,14.29,0.0,7.14,funny,1.5931790499390988
100.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,1.0,0.0,50.0,0.0,2.0,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.06,50.0,0.0,0.0,0.0,0.0,0.0,funny,1.6143386897404202
16.67,91.67,66.67,50.0,16.67,25.0,91.67,16.67,10.19,8.33,0.0,16.67,6.0,89.39,16.67,12,8.33,33.33,0.0,0.0,33.33,0.0,16.67,1.0,16.67,8.33,0.0,0.0,8.33,8.33,funny,1.568935427574171
6.67,73.33,66.67,26.67,6.67,20.0,93.33,13.33,89.52,13.33,0.0,13.33,15.0,19.26,26.67,15,13.33,0.0,13.33,13.33,0.0,6.67,0.0,99.0,6.67,0.0,0.0,0.0,13.33,0.0,funny,1.6411323896752703
40.0,70.0,60.0,20.0,0.0,30.0,100.0,10.0,3.8,10.0,10.0,20.0,10.0,98.38,10.0,10,20.0,30.0,20.0,10.0,30.0,10.0,10.0,99.0,20.0,0.0,0.0,10.0,20.0,20.0,funny,1.672907488986784
14.29,85.71,57.14,14.29,14.29,42.86,100.0,0.0,1.0,28.57,0.0,14.29,7.0,24.32,0.0,7,14.29,42.86,14.29,14.29,42.86,0.0,14.29,97.11,14.29,14.29,0.0,28.57,14.29,0.0,funny,1.8021664766248573
33.33,50.0,33.33,16.67,33.33,16.67,66.67,0.0,89.52,16.67,16.67,0.0,6.0,39.59,16.67,6,16.67,50.0,0.0,0.0,50.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,16.67,0.0,funny,1.56198347107438
57.14,57.14,57.14,14.29,28.57,28.57,85.71,0.0,2.35,28.57,14.29,14.29,7.0,1.0,14.29,7,42.86,14.29,0.0,0.0,14.29,0.0,14.29,99.0,0.0,0.0,0.0,0.0,28.57,0.0,funny,1.572704329256455
22.22,100.0,66.67,33.33,0.0,33.33,100.0,11.11,1.78,33.33,0.0,11.11,9.0,99.0,11.11,9,22.22,11.11,11.11,11.11,11.11,0.0,0.0,99.0,0.0,11.11,11.11,22.22,22.22,11.11,funny,1.6181229773462784
0.0,88.89,66.67,33.33,0.0,11.11,88.89,22.22,66.04,11.11,0.0,11.11,9.0,10.18,11.11,9,11.11,33.33,11.11,33.33,22.22,11.11,22.22,99.0,0.0,0.0,11.11,0.0,11.11,0.0,funny,1.6398227782121448
25.0,75.0,75.0,25.0,12.5,12.5,75.0,25.0,26.1,12.5,12.5,25.0,8.0,15.38,12.5,8,0.0,0.0,0.0,0.0,0.0,12.5,25.0,1.0,0.0,12.5,0.0,12.5,0.0,12.5,funny,1.5772811918063314
33.33,33.33,33.33,33.33,0.0,0.0,33.33,0.0,10.19,0.0,0.0,33.33,3.0,1.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,33.33,40.06,0.0,0.0,0.0,0.0,0.0,0.0,funny,1.5220338983050847
36.36,81.82,63.64,54.55,9.09,9.09,90.91,9.09,6.68,0.0,18.18,27.27,11.0,50.45,18.18,11,9.09,9.09,18.18,9.09,0.0,9.09,18.18,40.06,9.09,0.0,18.18,0.0,9.09,18.18,funny,1.5663338088445078
54.55,90.91,63.64,18.18,0.0,18.18,100.0,9.09,20.83,9.09,27.27,9.09,11.0,95.15,27.27,11,9.09,0.0,27.27,36.36,0.0,0.0,9.09,5.27,9.09,9.09,18.18,9.09,0.0,9.09,funny,1.5147783251231528
50.0,16.67,16.67,0.0,50.0,0.0,33.33,16.67,99.0,0.0,0.0,0.0,3.0,1.0,0.0,6,0.0,0.0,0.0,0.0,0.0,16.67,0.0,40.06,0.0,0.0,0.0,0.0,0.0,16.67,funny,1.642706131078224
15.38,69.23,61.54,15.38,7.69,15.38,84.62,15.38,53.56,7.69,0.0,15.38,13.0,30.98,7.69,13,7.69,0.0,0.0,15.38,0.0,15.38,0.0,40.06,7.69,7.69,0.0,7.69,7.69,0.0,funny,1.6465116279069767
11.11,77.78,55.56,22.22,33.33,0.0,100.0,22.22,66.04,0.0,11.11,11.11,9.0,77.17,11.11,9,0.0,0.0,33.33,0.0,0.0,0.0,11.11,40.06,0.0,0.0,0.0,33.33,0.0,0.0,funny,1.529458598726115
12.5,75.0,50.0,12.5,12.5,25.0,87.5,12.5,89.52,25.0,12.5,0.0,8.0,89.39,12.5,8,25.0,12.5,0.0,0.0,12.5,12.5,0.0,94.84,0.0,12.5,0.0,12.5,12.5,0.0,funny,1.5657620041753653
13.33,80.0,73.33,20.0,13.33,33.33,100.0,20.0,1.16,13.33,6.67,13.33,15.0,63.35,6.67,15,6.67,26.67,0.0,6.67,26.67,6.67,6.67,1.24,20.0,13.33,6.67,0.0,6.67,0.0,funny,1.775524235132348
12.5,87.5,75.0,12.5,6.25,12.5,93.75,18.75,26.1,6.25,6.25,6.25,16.0,15.38,12.5,16,18.75,6.25,6.25,12.5,6.25,6.25,0.0,94.84,6.25,0.0,6.25,12.5,12.5,0.0,funny,1.5125148986889154
36.36,81.82,54.55,27.27,18.18,36.36,100.0,18.18,1.0,18.18,18.18,9.09,5.5,99.0,0.0,11,0.0,36.36,0.0,18.18,27.27,0.0,9.09,1.0,18.18,18.18,0.0,9.09,0.0,9.09,funny,1.5607375271149675
28.57,71.43,57.14,28.57,14.29,14.29,85.71,14.29,18.12,14.29,14.29,28.57,7.0,24.32,14.29,7,14.29,0.0,0.0,0.0,0.0,14.29,14.29,99.0,0.0,0.0,0.0,14.29,14.29,14.29,funny,1.7025109170305677
50.0,50.0,50.0,0.0,50.0,25.0,100.0,0.0,1.0,25.0,25.0,0.0,2.0,1.0,0.0,4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,25.0,0.0,funny,1.577928870292887
12.5,87.5,62.5,37.5,0.0,12.5,100.0,12.5,62.1,12.5,12.5,12.5,8.0,1.0,12.5,8,12.5,12.5,12.5,25.0,12.5,12.5,12.5,99.0,0.0,0.0,12.5,0.0,12.5,0.0,funny,1.5042321644498189
75.0,50.0,25.0,0.0,0.0,0.0,50.0,0.0,99.0,0.0,0.0,0.0,4.0,1.0,25.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.06,0.0,0.0,0.0,0.0,0.0,25.0,funny,1.5197841726618706
0.0,70.0,60.0,30.0,10.0,20.0,90.0,20.0,89.52,20.0,0.0,10.0,10.0,99.0,20.0,10,10.0,0.0,20.0,0.0,0.0,10.0,0.0,3.95,0.0,20.0,0.0,0.0,10.0,0.0,funny,1.670020120724346
0.0,71.43,57.14,14.29,0.0,42.86,71.43,14.29,1.0,42.86,0.0,0.0,7.0,99.0,0.0,7,0.0,14.29,0.0,0.0,14.29,0.0,0.0,1.0,0.0,42.86,14.29,0.0,0.0,0.0,funny,1.662357922888344
40.0,100.0,60.0,40.0,20.0,40.0,100.0,20.0,3.8,20.0,0.0,20.0,5.0,63.35,0.0,5,0.0,20.0,0.0,20.0,20.0,20.0,0.0,1.0,20.0,20.0,0.0,20.0,0.0,20.0,funny,1.5671094823637195
20.0,60.0,40.0,0.0,0.0,0.0,80.0,20.0,99.0,0.0,20.0,0.0,5.0,99.0,20.0,5,0.0,0.0,60.0,20.0,0.0,20.0,0.0,40.06,0.0,0.0,0.0,20.0,0.0,0.0,funny,1.5332157554379775
28.57,78.57,57.14,21.43,7.14,21.43,92.86,21.43,56.86,21.43,7.14,7.14,14.0,97.09,14.29,14,14.29,7.14,7.14,14.29,0.0,7.14,0.0,1.0,0.0,21.43,0.0,7.14,7.14,0.0,funny,1.6101141924959217
133.33,100.0,100.0,0.0,0.0,0.0,100.0,0.0,89.52,0.0,133.33,0.0,3.0,99.0,66.67,3,0.0,33.33,0.0,0.0,33.33,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,funny,1.515
30.0,80.0,70.0,10.0,10.0,0.0,90.0,30.0,39.7,0.0,20.0,0.0,5.0,99.0,20.0,10,0.0,20.0,30.0,30.0,0.0,0.0,0.0,3.95,0.0,0.0,20.0,0.0,0.0,0.0,funny,1.6092664092664093
33.33,66.67,66.67,33.33,0.0,33.33,100.0,0.0,1.0,16.67,16.67,33.33,6.0,99.0,16.67,6,16.67,0.0,33.33,16.67,0.0,0.0,16.67,99.0,16.67,0.0,0.0,0.0,16.67,16.67,funny,1.5024630541871922
10.0,73.33,63.33,23.33,20.0,20.0,100.0,0.0,30.37,13.33,0.0,13.33,30.0,39.59,23.33,30,20.0,20.0,13.33,10.0,16.67,0.0,0.0,98.75,6.67,3.33,3.33,0.0,13.33,3.33,funny,1.520958083832335
12.5,75.0,50.0,37.5,12.5,25.0,87.5,12.5,1.0,25.0,0.0,12.5,8.0,89.39,0.0,8,25.0,0.0,12.5,12.5,0.0,0.0,0.0,99.0,0.0,0.0,12.5,0.0,25.0,0.0,funny,1.517120894479385
26.67,73.33,73.33,26.67,0.0,20.0,86.67,20.0,3.8,6.67,6.67,26.67,15.0,19.26,6.67,15,13.33,13.33,6.67,6.67,6.67,13.33,20.0,40.06,13.33,0.0,6.67,0.0,6.67,13.33,funny,1.5790554414784397
16.67,66.67,66.67,16.67,16.67,33.33,100.0,50.0,1.0,16.67,0.0,16.67,6.0,1.0,0.0,6,33.33,0.0,0.0,0.0,0.0,0.0,16.67,99.0,16.67,0.0,0.0,16.67,16.67,0.0,funny,1.570860927152318
11.11,77.78,55.56,44.44,11.11,22.22,88.89,0.0,1.0,22.22,0.0,22.22,9.0,10.18,11.11,9,22.22,0.0,0.0,0.0,0.0,0.0,11.11,40.06,0.0,11.11,0.0,0.0,11.11,11.11,funny,1.5343953656770457
20.0,70.0,50.0,20.0,10.0,20.0,90.0,20.0,15.41,20.0,10.0,0.0,10.0,99.0,0.0,10,10.0,10.0,10.0,20.0,10.0,10.0,0.0,1.0,0.0,20.0,10.0,0.0,0.0,0.0,funny,1.5538628944504898
0.0,71.43,57.14,0.0,14.29,0.0,100.0,14.29,99.0,0.0,0.0,0.0,7.0,99.0,28.57,7,0.0,14.29,42.86,42.86,14.29,14.29,0.0,1.0,0.0,0.0,14.29,14.29,0.0,0.0,funny,1.636900704385367
0.0,83.33,50.0,33.33,0.0,16.67,100.0,33.33,1.0,0.0,0.0,16.67,6.0,99.0,0.0,6,0.0,16.67,16.67,16.67,0.0,0.0,16.67,1.0,16.67,0.0,0.0,0.0,0.0,0.0,funny,1.517766497461929
63.64,81.82,81.82,27.27,9.09,27.27,100.0,27.27,1.5,0.0,36.36,27.27,11.0,5.07,0.0,11,0.0,18.18,18.18,0.0,18.18,27.27,27.27,1.0,27.27,0.0,9.09,0.0,0.0,18.18,funny,1.5218978102189782
22.22,77.78,66.67,22.22,0.0,44.44,100.0,33.33,1.0,33.33,11.11,11.11,9.0,77.17,11.11,9,44.44,11.11,0.0,22.22,11.11,0.0,11.11,99.0,11.11,11.11,0.0,0.0,33.33,11.11,funny,1.5136690647482014
33.33,66.67,33.33,16.67,16.67,0.0,66.67,16.67,89.52,0.0,0.0,0.0,3.0,1.0,0.0,6,16.67,0.0,16.67,16.67,0.0,16.67,0.0,40.06,0.0,0.0,0.0,16.67,0.0,0.0,funny,1.5912727272727272
28.57,71.43,42.86,42.86,14.29,14.29,85.71,14.29,89.52,14.29,14.29,14.29,7.0,1.0,14.29,7,14.29,14.29,0.0,14.29,14.29,14.29,14.29,1.0,0.0,14.29,0.0,0.0,0.0,14.29,funny,1.547588005215124
25.0,75.0,75.0,50.0,0.0,25.0,100.0,0.0,26.1,25.0,25.0,25.0,4.0,99.0,25.0,4,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,funny,1.5117967332123412
66.67,100.0,66.67,33.33,0.0,66.67,100.0,33.33,1.0,0.0,0.0,33.33,3.0,1.0,0.0,3,0.0,0.0,0.0,33.33,0.0,0.0,33.33,40.06,66.67,0.0,0.0,33.33,0.0,33.33,funny,1.642134831460674
25.0,50.0,50.0,25.0,25.0,25.0,75.0,25.0,1.0,25.0,25.0,25.0,4.0,89.39,0.0,4,0.0,0.0,25.0,0.0,0.0,0.0,25.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,funny,1.5011363636363635
40.0,70.0,60.0,30.0,0.0,10.0,100.0,20.0,15.41,10.0,10.0,20.0,10.0,1.0,10.0,10,40.0,20.0,0.0,10.0,10.0,0.0,20.0,89.5,0.0,0.0,0.0,10.0,10.0,20.0,funny,1.741097612065354
25.0,62.5,50.0,12.5,0.0,12.5,100.0,12.5,89.52,12.5,12.5,0.0,8.0,1.0,12.5,8,12.5,0.0,12.5,25.0,0.0,12.5,12.5,99.0,0.0,0.0,12.5,0.0,12.5,0.0,funny,1.6804469273743017
71.43,85.71,85.71,14.29,0.0,28.57,85.71,14.29,1.0,28.57,14.29,14.29,7.0,97.09,14.29,7,14.29,28.57,14.29,14.29,14.29,0.0,14.29,1.0,0.0,14.29,14.29,0.0,14.29,28.57,funny,1.7270569620253164
40.0,60.0,60.0,20.0,0.0,20.0,80.0,20.0,1.0,0.0,20.0,20.0,5.0,99.0,0.0,5,0.0,40.0,20.0,0.0,40.0,0.0,20.0,1.0,20.0,0.0,0.0,20.0,0.0,20.0,funny,1.6766607877718989
12.5,75.0,62.5,12.5,12.5,25.0,87.5,12.5,62.1,25.0,12.5,0.0,8.0,89.39,25.0,8,25.0,25.0,25.0,12.5,25.0,0.0,0.0,99.0,0.0,0.0,12.5,0.0,25.0,0.0,funny,1.621940928270042
50.0,50.0,50.0,25.0,25.0,25.0,75.0,25.0,26.1,25.0,25.0,25.0,4.0,89.39,0.0,4,25.0,0.0,0.0,0.0,0.0,25.0,25.0,40.06,0.0,25.0,0.0,0.0,25.0,25.0,funny,1.6814159292035398
14.29,42.86,28.57,14.29,28.57,0.0,85.71,28.57,99.0,0.0,14.29,0.0,7.0,99.0,0.0,7,0.0,28.57,0.0,14.29,28.57,14.29,0.0,40.06,0.0,0.0,0.0,0.0,0.0,0.0,funny,1.6679204728640515
22.22,77.78,66.67,11.11,0.0,11.11,88.89,11.11,99.0,11.11,0.0,0.0,4.5,10.18,44.44,9,11.11,11.11,22.22,33.33,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,11.11,0.0,funny,1.5203761755485894
33.33,66.67,66.67,33.33,33.33,50.0,100.0,16.67,1.0,33.33,0.0,33.33,6.0,99.0,0.0,6,16.67,0.0,0.0,0.0,0.0,0.0,16.67,1.0,16.67,33.33,0.0,0.0,0.0,16.67,funny,1.6056307758435415
33.33,83.33,66.67,33.33,16.67,33.33,83.33,16.67,49.68,16.67,16.67,16.67,6.0,99.0,16.67,6,16.67,0.0,33.33,0.0,0.0,16.67,16.67,98.75,16.67,0.0,0.0,0.0,16.67,16.67,funny,1.528861154446178
20.0,20.0,20.0,0.0,0.0,20.0,80.0,0.0,39.7,20.0,20.0,0.0,5.0,99.0,0.0,5,20.0,0.0,0.0,40.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,funny,1.510226049515608
16.67,66.67,50.0,16.67,33.33,16.67,83.33,16.67,99.0,0.0,16.67,0.0,6.0,39.59,16.67,6,0.0,0.0,0.0,0.0,0.0,16.67,0.0,40.06,16.67,0.0,0.0,0.0,0.0,0.0,funny,1.632429614181439
9.09,100.0,81.82,18.18,0.0,27.27,100.0,0.0,1.5,18.18,9.09,9.09,11.0,99.0,27.27,11,9.09,45.45,27.27,9.09,36.36,0.0,18.18,1.0,9.09,18.18,9.09,9.09,9.09,0.0,funny,1.5815602836879432
20.0,86.67,66.67,26.67,13.33,6.67,93.33,13.33,98.78,6.67,6.67,13.33,15.0,19.26,33.33,15,6.67,0.0,26.67,6.67,0.0,6.67,13.33,77.41,0.0,0.0,0.0,13.33,6.67,6.67,funny,1.5111358574610243
16.67,83.33,33.33,50.0,33.33,16.67,83.33,16.67,49.68,0.0,0.0,16.67,6.0,1.0,0.0,6,33.33,0.0,0.0,0.0,0.0,16.67,16.67,40.06,16.67,0.0,0.0,16.67,0.0,16.67,funny,1.5651741293532335
25.0,83.33,75.0,33.33,16.67,33.33,100.0,16.67,1.0,25.0,8.33,25.0,12.0,3.81,0.0,12,41.67,41.67,16.67,8.33,33.33,8.33,25.0,99.0,8.33,0.0,0.0,0.0,33.33,8.33,funny,1.523465703971119
50.0,50.0,25.0,0.0,25.0,25.0,75.0,25.0,26.1,0.0,0.0,0.0,4.0,89.39,0.0,4,0.0,25.0,0.0,0.0,25.0,0.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,funny,1.513916500994036
11.11,77.78,55.56,33.33,11.11,11.11,77.78,11.11,10.19,11.11,0.0,11.11,9.0,77.17,11.11,9,11.11,0.0,33.33,22.22,0.0,11.11,0.0,99.0,0.0,0.0,22.22,11.11,11.11,0.0,funny,1.5519888346127009
0.0,88.89,66.67,22.22,0.0,33.33,100.0,11.11,10.19,22.22,0.0,0.0,9.0,77.17,11.11,9,11.11,22.22,11.11,11.11,22.22,0.0,11.11,2.75,11.11,22.22,11.11,11.11,11.11,0.0,funny,1.570113314447592
66.67,66.67,50.0,16.67,16.67,16.67,83.33,16.67,1.0,0.0,16.67,16.67,6.0,39.59,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,16.67,40.06,16.67,0.0,16.67,16.67,0.0,0.0,funny,1.5145089285714286
25.0,75.0,62.5,12.5,12.5,12.5,87.5,18.75,78.28,12.5,0.0,12.5,16.0,1.63,18.75,16,12.5,18.75,6.25,0.0,18.75,6.25,0.0,99.0,0.0,0.0,6.25,6.25,12.5,0.0,funny,1.577424023154848
13.33,80.0,66.67,13.33,6.67,26.67,93.33,13.33,3.8,20.0,6.67,6.67,15.0,99.0,6.67,15,13.33,20.0,13.33,13.33,20.0,6.67,6.67,77.41,6.67,6.67,6.67,6.67,13.33,0.0,funny,1.656042496679947
