caption,rating
My problem is that Republicans don't understand me.,not_funny
"On second thought, forget the drink, gimme more ice!",funny
Can I get two more? I only face this way once a day.,not_funny
"Worst date ever! She claimed that I was actually flat, and just contorting myself to fit some UN world order narrative.",not_funny
"No thanks, I’ll pass. The room is spinning!",not_funny
This place has no atmosphere.,somewhat_funny
So you're losing your hair? I'm losing my ozone layer!,not_funny
Can I get more ice? Mine is melting.,funny
And then things started to get heated…,not_funny
She said I was hot and left.,not_funny
Venus is hot but out of my orbit.,not_funny
I feel like I've just been going round in circles.,not_funny
I’m done with the cosmos. Give me a whiskey.,not_funny
"She was my universe, man.",funny
I'm a hot mess.,somewhat_funny
"You spend billions of years to get it right, then they stumble upon the Industrial Revolution and arrogantly think they know how to do better and, in a blink of an eye,  phhtt!",not_funny
"Is it me, or is it getting hotter in here everyday?",not_funny
You didn’t know the earth was a heavy drinker? I didn’t know the moon was a nosy bartender.,not_funny
It's always five o'clock somewhere.,somewhat_funny
My ice melted again.,funny
"They scoffed at me when I told them about my invisible friend; now ""dark matter"" is all they can talk about.",not_funny
Give me all the ice you have.,funny
I’m so fracked.,somewhat_funny
And then I told her that the world doesn't revolve around her.,not_funny
"Doesn't it feel warm in here?""",not_funny
I'll  give you a hundred bucks for 5 minutes in the walk-in.,not_funny
"If I had any idea, I would never have allowed them to land in the first place.",not_funny
I suspect he is seeing other planets.,not_funny
"Oh, boo-hoo. ‘I’ haven’t had a vacation in 4 billion years!",not_funny
I ever tell you about me and Pluto?,not_funny
Welcome to my world.,somewhat_funny
It’s been a long day.,somewhat_funny
Why is there plastic in my drink?,not_funny
I feel like I'm taken for granite,not_funny
Sometimes I feel like I have the weight of me on my shoulders.,not_funny
I just came in to cool off.,not_funny
Have you ever felt like you have the weight of the world on your shoulders?,not_funny
Let's be honest - I miss the dinosaurs.,not_funny
My moon doesn't understand me.,somewhat_funny
And I can never figure out where to go on vacation!,not_funny
…I’m actually not a people person.,not_funny
You think you've got problems!? I gotta be carbon neutral by 2037!,not_funny
"If I’m here, what are you standing on?!",not_funny
"I’ve got a good one: Mars, Earth, and Elon walk into a bar…",funny
Why do I drink?  Have you seen the news lately?,not_funny
Have you run out of ice too?,funny
No! I'm just a marble.,somewhat_funny
She told me she needed some space,not_funny
I need another round to get through the day,not_funny
What ID? I am older than dirt.,not_funny
"I'm 4.5 Billion years old--and 70% water, just like your drinks.",not_funny
My drink is flat.,somewhat_funny
I tell you these changes I'm going through are not natural!,not_funny
I'm just warming up.,somewhat_funny
Who cares if I'm flat or round? Can't I just be loved for who I am?,not_funny
"Hey, I need some ice",funny
I'm sick of people.,somewhat_funny
So then I find out that my brother 'Pluto' isn't really my brother at all!,not_funny
Can I get some ice with that?,funny
"Just like me, your drinks are 71% water.",not_funny
"Get me some ice in this, I’m burning up!",funny
"Can you crank up the A/C, please? My ice caps are melting.",funny
I said  I want global cooling.,not_funny
I had it all.  Everything revolved around me until Copernicus shows up.,not_funny
"Mercury and Venus, don't get me started.",not_funny
"So she says to me,”why is it so hard to get to your core?”",not_funny
Would humans say Mars is flat if they lived there?,funny
"I gotta tell ya, they're killing me.",not_funny
"I tell ya, man — my inhabitants just don’t understand me.",not_funny
"Anything cool, please--I'm warming.",somewhat_funny
"When I asked him who besides him was going to carry me, Atlas shrugged.",not_funny
"So I says, “I’ll tell you what the world is coming to!”",not_funny
Make it look like an accident.,not_funny
You’d drink too if you had my problems.,not_funny
"You call it ""blacking out,"" I call it an eclipse.",not_funny
Any more worldly advice?,funny
"Could I get some more ice,please?",funny
"Trust me, alcohol is the least of my problems.",not_funny
"You’d think I’d be flattered, but I just don’t want to be this hot!",not_funny
...but that's just my world view,not_funny
another round please,somewhat_funny
All I can say is I tried.,not_funny
"Next thing I knew, Atlas shrugged.",not_funny
"Have a few drinks, have a few laughs, I mean what could go wrong?",not_funny
Last call? I'm just warming up!,not_funny
I never get drunk because I'm mostly water.,not_funny
....And Republicans seem surprised that I'm not flat.,not_funny
"Listen, I’m not flat and I do have an end!",not_funny
You wouldn't believe the century I've had!,not_funny
"I have been taking care of you, please take care of me.",not_funny
No more. I'm spinning already.,somewhat_funny
"I swear, Pluto's not mine.",somewhat_funny
"I'm a small world after all.""",not_funny
"Next thing I know, I've been mooned.""",not_funny
I'm over 14 billion years old. How about a little respect!,not_funny
"Yeah, one more please, I’m feeling kind of flat today.",not_funny
My wife and I are worlds apart.,not_funny
They want me to drink methane too!,not_funny
Global warming has really got me down,not_funny
Is it just me or is the room spinning?,not_funny
"The world keeps changing: it’s sphere today, gone tomorrow.",not_funny
You don't have any ice either?,funny
Are you sure this is 97% salt water?,not_funny
And then she called me geocentric...can you believe that?,not_funny
Whadja put in this? My head's spinning!!!,not_funny
Mind adjusting AC? I’m a bit too warm.,not_funny
I can't abide these hot flashes anymore.,not_funny
"My children give me Earth Day, but what about the rest of the year?",not_funny
I’m drunk off my axis.”  “Where is the restroom? Gotta go drain the ole south pole,not_funny
…so she says ‘ you my friend live in a world of your own’…,not_funny
"I’m telling ya man, there’s these little things crawling all over me!",not_funny
I really just need Water.,somewhat_funny
Could you please turn down the thermostat?,not_funny
"It wasn’t a conference after all. It was an intervention! Mars, Venus…everyone said I’ve changed and not for the better.",funny
I'll have large  cup of COOLADE!,not_funny
"I feel like I just keep going around in circles.""",not_funny
"This drink isn't carbonated, is it?",not_funny
"I’m gonna need, like, waaay more ice in this.",funny
I just get this feeling no one will ever really know what's at my core.,not_funny
Do you ever feel like your just going around in circles?,not_funny
"Yeah, I was the source for drilling all that oil, but it was never my idea to burn it!",not_funny
And you really believe that someday there will be a happy hour again?,not_funny
What in the world is happening to me...?,not_funny
My ice keeps melting.,funny
I still miss the Ice Age.,funny
"My ex was the best...very religious...looked at me like I was only 5,000",not_funny
I'm so hot I'm gonna need an ice age to cool off!,funny
He said it like a “globalist” is a bad thing.,not_funny
I feel like I got my own weight on my shoulders!,not_funny
"Sure, I'd love to leave the Solar System, but I don't think you understand the gravity of the situation.",not_funny
It ain't right Gus.  After four billion years together Mother Nature packs up and moves in with her sister in Jersey.,not_funny
No ice?,funny
"Last call, it's only 2023?!",somewhat_funny
For me it's one revolution after another.,not_funny
"Another frozen mojito, please ... and could you turn the AC down one-and-a-half degrees Celsius?",not_funny
I don’t just have the world on my shoulders; I am the world.,not_funny
Does it look like it's receding?,not_funny
Just hand me the bottle.  I'm always five o'clock somewhere.,not_funny
They never ever ask how I feel...and the things they say!,not_funny
Last call? Tell me about it...,not_funny
What’s happened to the atmosphere in this place?,not_funny
"Every day is Earth Day on this barstool, Fred.",not_funny
Atlas left me.,somewhat_funny
"It’s a wonderful world, it’s a wonderful world…how many times a day is that song played…??” “Do you know the pressure I’m under???",not_funny
You don't have to tell me we're out of ice!,funny
Evolve!  I should 've stopped  with the chimps.,not_funny
Can you turn down the heat?  It’s like a greenhouse in here.,not_funny
One small drink for me and a large one for the end  of mankind!,not_funny
There was room for ice.,funny
And then I dreamed they were crawling all over me and buzzing around me and...it was just awful.,not_funny
I think this place needs a bit more atmosphere.,not_funny
This is the kind of atmosphere I've been needing.,not_funny
No more Fireballs.,somewhat_funny
On top of that I have plate tectonics.,not_funny
Do you want to go rotate after this?,not_funny
Why do people walk all over me?,not_funny
I have enough water as it is.,not_funny
You think you have troubles! I'll be Andromeda dust in just 5 billion years.,not_funny
"I just feel like I've got the weight of humanity on my shoulders, you know?",not_funny
I’ll be back in the same spot tomorrow.,not_funny
Just make it look like we're talking - Pluto's here.,not_funny
I am so lonely since Pluto went away.,not_funny
Lots more ice in my next one. I have to cool off fast.,funny
"I just need to cool down, yah know?",not_funny
"You’re 70% water, too - don’t you get thirsty?",not_funny
Make it a double. Mercury's in retrograde!,not_funny
"My life revolves around her, do you know what I mean!?!",not_funny
I get blamed for everything.,somewhat_funny
Whaddya got to cool me down?,not_funny
"And then he says ""Don't go changing"", like it's up to me!",not_funny
"I swear Joe, it's like they don't even care!",not_funny
"Joe,I had the world on a string",not_funny
I miss the good-old days when I was Gaia.,not_funny
Everything was great for 4 1/2 billion years.,not_funny
"It's been a long day. Make it a double!""",not_funny
You think you've seen some fucked up humans...,not_funny
I swear I only drink this much when I’m overheated,not_funny
"no matter what i do, i can't seem to shake this fever",not_funny
"My temperature keeps rising, and no one seems to care!",not_funny
Even Atlas has given up on me.,not_funny
Thanks for solving all of my problems.,not_funny
They're killing me...,somewhat_funny
The “X” man has got me by the ass!,not_funny
I’ve been experiencing an untreatable fever lately.,not_funny
"And the next thing you know, I’m seeing satellites circling!",not_funny
"Is it hot in here,or is it your imagination?",not_funny
The doctor said I have about 8 billion parasites.,not_funny
"If it’s my wife, I’m not a sphere.",not_funny
"My doctor keeps telling me to cut back on fossil fuels,but who can afford clean energy in this economy!",not_funny
"Yes, people always mistake me for Gorbachev.",not_funny
"Trust me, it's five o'clock somewhere.",not_funny
"I turn around and around, there she is again–beaming at me.",not_funny
Being called flat hurts.  It really hurts.,not_funny
"And that's when I said, ""I don't care about Uranus, show me your moon.""",not_funny
"Everyone always asks me, 'What's this world coming to?'",not_funny
I just feel like my life is going in circles.,not_funny
''All anybody wants to talk about is the weather.'',not_funny
Have you seen my pants?!,somewhat_funny
My ice is melting.  Can you refresh me?,funny
I need a cold one. I've never been this hot!,not_funny
"It's last call for me, so just leave the bottle.",not_funny
"Please, Sir.  Can I have more ice? I’m trying to cool off.",funny
"Then, they invented something called MILF island…",not_funny
Then she says “you’re not worldly enough”. Can you believe that?,not_funny
Could you please turn the heat down a degree? I'm melting.,not_funny
Screw it— give me a plastic straw.,not_funny
This eco disaster has driven me to drink,not_funny
"Hey, it’s hotter can you turn on the AC in here?",not_funny
A round for everyone please.,somewhat_funny
And THEN they started burning this thing called coal,not_funny
My name is NOT Sherwin Williams!,not_funny
Give me one goddam reason not to tell the Moon to get lost!,not_funny
I don’t know why she left - I thought talking about global warming would be a good icebreaker.,funny
"Evidently, I'm in a world of trouble.",not_funny
My southern hemisphere is hemorrhoidal!,somewhat_funny
"Hey Mac, all my ice melted.",funny
"I prefer to be stirred, not shaken.",not_funny
Whaddaya mean you're out of ice?,funny
Give me a heads up if any more humans come in.,not_funny
No thanks. After one drink my head starts spinning and everyone gets dizzy!,not_funny
Got any more ice?,funny
You got anything non-carbonated?,somewhat_funny
"Hey, Fred, could I get a few million cubic yards of ice?",funny
Clearly we don’t have the same worldview!,not_funny
Ice on the rocks. Please.,funny
Here’s an idea. Play some Perry Como once in awhile.,not_funny
I like this bar because it is so down to earth.,not_funny
Do you have something for a headache.,not_funny
"Continental drift is bad enough, but this incontinental drip is really killing me.",not_funny
"And I said, “Your shoulders? What about what’s on my shoulders for god’s sake?” -Wade Munday, Nashville, Tenn",not_funny
Everybody’s giving me a hard time! YOU’D have hot flashes too if you were 4.5 billion years old!,not_funny
I'm over-heating here. I need a Scotch on the rocks - but hold the Scotch,not_funny
Do you ever feel like the weight of world is on your shoulders?,not_funny
"I could really use another ice cube, they keep melting!",funny
She complains that I am too distant.,not_funny
Venus just doesn't get me.,somewhat_funny
And then she said “you better just cool off”!,not_funny
I was a cool calm planet until I crossed global warning's path.,not_funny
"No,No,I need a LOT of water!",not_funny
How big is your ice machine?,funny
"I don't push they other planets away, but I never let them get closer to me, either.",not_funny
And do they really think that nammg a day after me makes up for all the crap I have to put up with?,not_funny
Do you have any more of this clean water back there? I'm running low.,not_funny
"If the Moon calls looking for me, I'm not here.",not_funny
My doctor says I’m bipolar.,somewhat_funny
"I thought I said, ""No carbon.""",not_funny
"I'll take a Hurricane, an Earthquake, and a Mudslide, please.",not_funny
"With the dinosaurs, I swear I only drank on weekends",not_funny
Is it just me or has the whole place gone to hell?,not_funny
I’ve got something called homo-sapien-carcinoma.  I don’t think I’m going to make it.  I should have been born outside the inhabitable zone.,not_funny
"She liked my magnetism, but didn’t like that I was bipolar.",not_funny
We go on one date and poof! I never hear from Pluto again.,not_funny
She said we’re polar opposites.,somewhat_funny
Will you call a cab so I can get out of here?,not_funny
I can't stand it! I'm getting trashed,not_funny
"In his hands"", ""On his shoulders"" - I'm sick of being handled",not_funny
I'll stop drinking when they are all polluting Mars.,funny
"I would wear sunglasses at this point,but you know,no ears.",not_funny
I used to be a glass half full kind of planet.,not_funny
Could I have one more for the orbit?,not_funny
''She said I wasn't edgy enough.'',not_funny
Another one of those and my world will be spinning.,not_funny
Where do I go if George Soros gives up on me?,not_funny
This is what the world has come to.,not_funny
Do you have lots of ice? Because I think I'm gonna need lots of ice.,funny
All that drinking and now my sea levels have risen. I'm a goner.,not_funny
It's way too warm here -- I need some ice.,funny
"My life is just a never-ending 'Shake, Rattle, and Roll'.",not_funny
"I was able to handle the stress of my plate tectonics for eons, but these damn rising sea levels have driven me to drink.",not_funny
You wouldn’t believe the day I’ve had.,not_funny
Will this make the world go away?,not_funny
My asteroid belt makes me look fat so I am thinking of switching to asteroid suspenders.,not_funny
"Pour me a double, boss, they told me I only got twelve years.",not_funny
Line ‘em up Sam.  It’s gonna be a long story with a sad ending.,not_funny
Put it on humanity's tab.,somewhat_funny
You hiring? I think my current gig is just about up.,not_funny
"How would you feel if everyone called you, “messed up?”",not_funny
Another one on ice… I really need to cool down,funny
You should have seen the rings on her,not_funny
"It's like I said. They'll be sorry when they discover they don't have me to kick around anymore.""",not_funny
"So I said, ‘If it’s a hoax, they sure fooled me.’",not_funny
Make it on the rocks; the heat is really getting to me.,not_funny
Make it a double. A strong double.,not_funny
"No more thanks, I am already seeing two moons.",not_funny
I don't know why everyone keeps saying that. It's NOT a stage.,not_funny
Would it be presumptuous to ask for Moonshine?,not_funny
"Don't kill the messenger, but Ireland is asking for something a wee bit stronger.",not_funny
and then the guy bet me a drink that i was flat,not_funny
How about an ice cube?,funny
Doc says 5 years. I’m saying I have another  ice age in me.,funny
My glass is definitely half empty.,not_funny
"So Planet Earth walks into a bar and says, “I'll have something non-carbonated.”",not_funny
"God, I hate people.",somewhat_funny
"Shakiness, flooding, overheating, maybe it's menopause?",not_funny
I said ice water!,funny
I only drink when Mercury is in retrograde,not_funny
You ever feel like your life is just going around in circles?,not_funny
Earth calling! I'm running dry over here!,not_funny
I guess it’s time to close out my tab.,not_funny
I'm polluted.,somewhat_funny
I'll go another round,somewhat_funny
I haven't felt the need to drink since the ice age.,funny
"Basically, I’m a hot mess.",somewhat_funny
"Doc says my high temperatures and chills are due to an imbalance in my macrobiome,whatever that means. Plus I’m really greenhouse gassy lately.",not_funny
Could I get something non-carbonated?,somewhat_funny
I'm a glass half-full kind of planet,not_funny
I can't wait till Musk sends you all to Mars.,funny
More ice.,funny
I just need my space.,somewhat_funny
Panic Cocktail please! with ice on top and bottom only.,funny
"For years,I had it practically all to myself and then this wise guy Hobbs comes along!",not_funny
"Do I have to do everything around here? I mean, can a mother get a little help?",not_funny
When do the pole dancers start?,not_funny
Hey Bud if world peace were that easy I wouldn’t need this drink!,not_funny
Surprise me .,somewhat_funny
"The bar-sign said ""Ice Cold Beer!""",funny
"Hey, buddy, I need more ice...a whole lot more ice, here!",funny
Whoa. Now I'm really spinning.”,somewhat_funny
I’ve got this infection called people and it’s killing me,not_funny
Keep the drinks coming until I’m in retrograde,not_funny
"What IS so funny about peace, love, and understanding?",not_funny
"If my life calls, I'm not here.",not_funny
"Being the third of eight I don’t get much attention but as you’ve heard, I could use some help.",not_funny
"Bartender: Say, we don't get many planets in here. Earth: And at these prices — plus global warming, of course — you won't get many more.",funny
Could you show me the way to the next solar system,not_funny
One more for the orbit.,somewhat_funny
Global warming makes me thirsty.,somewhat_funny
Hit me again...I'm feelin' a little shaky.,not_funny
The world's no place for a guy like me.,not_funny
It’s always something.,somewhat_funny
"So it turns out, my brother's hiding behind the sun all this time.",not_funny
Global warming my ass.  It’s herpes and some purple-haired tree hugger gave it to me.,not_funny
Ice quick! I’m burning up over here!,funny
"Make it a double, I’m dying.",not_funny
"It's all Mars, Mars, Mars -- no one cares about old Earth anymore!",funny
This is my last one. My head is spinning.,not_funny
I remember when they came down from the trees like it was yesterday.,not_funny
"Just a cold one please,",somewhat_funny
You try being dropped by a Titan.,not_funny
I feel like I've got the weight of me on my shoulders.,not_funny
"So, a star walks into a bar...",not_funny
"""All my homo sapiens have gone out of their ever-loving minds.",not_funny
Sometimes I just feel like I’m in someone else’s shadow.,not_funny
I'm feeling a little warm -- you sure this stuff's environmentally friendly?,not_funny
"Ever since I realized Lin-Manuel Miranda lives on me,it's sent me into an alcohol fueled depression. I also never really fully processed 9/11.",not_funny
Just like everyone else:  no one will listen.,not_funny
NO! That's the thing. I'm just a randomly colored sphere with a drinking problem.,not_funny
"Wiki defines me as a 'washed up  cliché'!""",not_funny
I gave Atlas my key -- has he been in here lately?,not_funny
I just feel like I am being pulled in all different directions.,not_funny
They tell me “Hang on Humpty Dumpty”,not_funny
How about a glass of ice?,funny
"Pardon me, I'm hot and really need to Crack A Cold One.",not_funny
"I think that the Moon stood me up again""",not_funny
May I have some ice? I think I’m going through climate change!,funny
Sometimes I just wish an asteroid would come along and put me out of my misery!,not_funny
Do you know what's like when they say 'the whole world is watching?',not_funny
Check please. It's been a long day.,not_funny
"A fire, a tornado, and a hurricane walk into a bar....ah, never mind.""",not_funny
That was tough when he had the whole of me in his hands.,not_funny
I think the planet deserves a good stiff  drink,not_funny
Goodbye cruel bar.,somewhat_funny
"I never wanted to get divorced, but Sunny thought my life should revolve around her!",not_funny
I’ve got the weight of some guy on my shoulders!,not_funny
I said neat. Do I look like I need more water?,not_funny
Look at me...and they keep sayin' it's just a hoax!,not_funny
"Wait, I ordered a Cosmos",somewhat_funny
I just caught 7 other planets circling my beloved sunshine!,not_funny
"It’s your fault, you know.",somewhat_funny
"I ordered a DOUBLE  Long Drink, Sir",not_funny
Is this filtered??,somewhat_funny
Being the host of parasitic humans has nearly ruined me. That’s why I drink.,not_funny
"Keep 'em coming, I'm two thirds water!",not_funny
"It's hard to resist, when it's always 5:00 somewhere in the world.",not_funny
"Well, if I rotate the other way a little bit, then it won’t be closing time. So, just chill and let me finish my story.",not_funny
"I tell you, I'm dying, and too few give a shit!",not_funny
It's either a melanoma or plate tectonics.,not_funny
Better bring me the bottle.,somewhat_funny
Why do people insist on talking about my weight?,not_funny
Then she sez 'you got cooties! Eight billion of them!',not_funny
"I just need an unexhaustable supply of cool, clear water.",not_funny
"God, Nobody listens to me.",somewhat_funny
"Nah, seriously!  I'm in a whole world of hurt. or Don't look at me like that.  My crisis is everybody's crisis!",not_funny
"Thanks,Sam. Guess I'll be wobbling off now.",not_funny
"Is it me, or is it getting too hot in here?",not_funny
"Another ice water, please. And make it a triple shot.",funny
The earth wants to talk to the bartender,not_funny
Who is this 'Atlas' guy anyway?,not_funny
"Thanks for listening, it means the world to me.",not_funny
WHO just fired me.,somewhat_funny
I've been a globalist forever but why are people upset about it now?,not_funny
"I won't be here for long, so make the next one a double.",not_funny
She said I was her whole world.,not_funny
...and then I found out the Moon is seeing other planets.,not_funny
I’ve seen the dark side of the moon.,not_funny
"So set'em up,Joe,I have a little story I think you should know.",not_funny
Earth: “Bourbon on the rocks” Bartender: “We are out of ice” Earth: “Same”,funny
Seriously men! I have fleas  … Look! Look! … they walk all over!,not_funny
"Ya know,some days I feel like I carry the weight of the world on my shoulders.",not_funny
Excuse me can I use the bathroom? I have diarrhea.,not_funny
Am I looking a little round to you?,not_funny
Can you point me somewhere that isn’t Last Chance Saloon?,not_funny
"You'll tell when I've had enough, right?",not_funny
"The world does not revolve around you, Sam.",not_funny
Can I have some ice caps?,funny
Have any ice?  Mine is melting.,funny
Do you know what it's like to have the weight of the world on your shoulders?,not_funny
"More ice, please. I'm dying here.",funny
I need a cold one!,somewhat_funny
Can I have some ice?,funny
A little ice?,funny
I've been talking about UFO's for centuries!,not_funny
What I really need now is love sweet love.,not_funny
I just wanna cool down a bit.,not_funny
It's like all the good single ladies have disappeared into a black hole!,not_funny
"It's getting so bad here, I am thinking of changing orbits",not_funny
"Im going through the change, hot flashes and all.",not_funny
"Yeah,I know…I look like I have the weight of the world on my shoulders.",not_funny
"Sorry, my bad... Volcanoes.",somewhat_funny
"...Really, I'm just tired of being orbited! They keep pulling on my tides like I wont notice...",funny
Heard the one about the climate denialist and the flat-earther who walked into a bar together?,not_funny
I’ve got the weight of my shoulders on my shoulders.,not_funny
"Is it me, or is it getting hotter in here?",not_funny
"It's not like I want to spew lava and spawn tornadoes, earthquakes, and hurricanes, but you people are killing me",not_funny
"OMG,the whole World has gone crazy",not_funny
You think old age has been cruel to you?,not_funny
I’ve never felt so down to earth,not_funny
"No more ice, ever?!",funny
I've been aching for over a year in my Russian area.,not_funny
"My twin--oh, Venus! We're on the same orbit but how come we're not able to hang out?",not_funny
"One minute it's chills, then shakes, then fever. And boy have I been windy lately.",not_funny
It all started in the Mesozoic era...,not_funny
I’m a mess …!,somewhat_funny
"I'm telling you Joe, I get no RESPECT!",not_funny
New World Order ing,somewhat_funny
One more ‘continental drift ‘ please.,not_funny
Hey. Can a fella get something to help him cool off around here?,not_funny
"Please don't say, ""Hot enough for ya?""",not_funny
Why would He put me here and then cover me with this fungus that I call humanity?,not_funny
"Everybody has problems, but I'm always in a world of trouble.",not_funny
"Its hot, and I am feeling bloated.  What is going on around here?",not_funny
Make it a double with ice cubes.,funny
WHAT  IS THIS WORLD COMING TO?,not_funny
"If it’s not too much trouble, can you spare more ice?",funny
You know what gets me hot? People that don't think I'm hot.,not_funny
"Ah, we are way past the glass half full or empty with this one. There will be no glass.",not_funny
It’s just nice to have someone that listens to you.,funny
"I'm telling you, I've had enough.",not_funny
It's feels like I'm the weight on someone's shoulders,not_funny
It's *constantly* five o'clock somewhere!,somewhat_funny
"Man, if you were me you’d see this cup as half empty too!",not_funny
What harm is one drink going to do.  I've already been polluted with toxic waste!!,not_funny
I'll take one more for the skillet.,not_funny
I stopped the world to let people off!,not_funny
I need another. Got the world on my shoulders!,not_funny
"I ordered it ""on-the-rocks"", I'm having hot flashes!",not_funny
Do you have aanything colder?,somewhat_funny
"Some of my best friends are ""Flat Earthers""...",not_funny
Climate change; you can’t live with it and and can’t foresee a century without it.,not_funny
You ran out of ice?,funny
"With ice! No matter how much I blow off steam, I can’t seem to cool off.",funny
Could you wack on the air conditioning?,not_funny
"My brother, Earth, just passed away.",not_funny
"I swear, Herb, these people are going to be the death of me.",not_funny
Don't you  get tired of people thinking they can walk all over you?,not_funny
"She left me because she said my head was too round, and she wanted a guy with a flattop.",not_funny
"Man, is it hot enough for ya?",not_funny
"From  now on it's going to be the priest, the rabbi and the planet",not_funny
I'm going to need alot of ice!,funny
It can't be last call.,somewhat_funny
"Pluto? Oh, he's no longer in my circle. You know, I didn't completely disagree when he chastised me for getting around. But I knew our relationship was over when he said I was spinning out of control.",not_funny
Can you turn on the air conditioner?,not_funny
First world problems,somewhat_funny
D’ya have any idea what it’s like to be me?,not_funny
What's to say? It's been another helluva week here!,not_funny
"Could I get another water, I'm really over heating.",not_funny
"...and then she left me!  Went to 'colonize' my neighbor. What's he got that I don't, anyway?",not_funny
Everybody seems to think they know how to “solve the world’s problems.”,not_funny
"What do you mean, you’re also running out of  ice?",funny
Got anything with ice in it?,funny
"My ice is melting, can you turn it down a bit.",funny
Problems? Problems?  Where do you want me to start?,not_funny
"Mars?!  I'm telling you, what's a planet got to do to get some respect?",funny
How 'bout a round of eight billion.,not_funny
"I just don't feel like he's got the ""whole me"" in his hands!",not_funny
Political Climate Change,somewhat_funny
You don’t know what it’s like to live every day with a nasty case of the spins”,not_funny
"And then , that guy, the moon, hit me!",not_funny
"Look mack, I've been around the block and I can tell you this global warming shit is for real.",not_funny
It all started when I was born.,not_funny
"...And then, I top of all that, I feel like my life is spinning out of control !!!",not_funny
"Sorry bud, but I’m gonna need waaay more ice.",funny
"Hey buddy, can I get another hurricane over here?",not_funny
Can we skip 'Last Call' for another time?,not_funny
I'm hoping that the next ice age comes soon because you ain't exactly generous on ice in my drink,funny
"Writers, actors, ... What about us studio logos?",not_funny
No need for plastic cups.,somewhat_funny
"The doctor said the hot flashes were early menopause, but I know it's global warming.",not_funny
Can I please get a water? That last drink knocked me off my axis!,not_funny
"I don't mean to be rude, but, as species go, yours sucks!",not_funny
"I didn't ask for a shot; I said, ""Shoot me!""",not_funny
On the rocks please.,somewhat_funny
This glass is half empty.,somewhat_funny
"Thanks for the water, but I need something stronger.",not_funny
"How would you feel, living with such an existential threat?",not_funny
What have you got that's cold,not_funny
"The song says you got the whole world in your hands, but I haven't had a date in a million years.",not_funny
I'd like to buy the world a drink on me.,not_funny
It seems like I need a drink a lot more often these days.,not_funny
It keeps getting hotter I need water!,not_funny
It's getting too hot not to drink heavily.,not_funny
Just leave the bottle,somewhat_funny
That's an astronomical service fee!,funny
Do you need some ice in your drink to cool off?,funny
My head just keeps spinning! Got anything for that?,not_funny
"Hey! Really needed that seventh day off, did you?",not_funny
"Yeah, they wouldn't let me in the Macy's Parade!",not_funny
"Same old same old with me-global warming, mass extinctions, the next doomsday tech craze, all thanks to, no offense, your kind. But tell me more about how your wife has started to make her shepherd's pie with ground turkey instead of ground beef.",not_funny
"Sam, it was so much easier just dealing with volcanoes, earthquakes, and dinosaurs.",not_funny
So two planets came into a bar...,not_funny
"So I said, fine, if you’re going to trash me, I’m just gonna go get wasted.",not_funny
"And then she said I'm her whole world, but I'm everyone's whole world!",not_funny
"In the real world, sobriety is overrated.",not_funny
You can keep the change!,somewhat_funny
"Can I get some ice, I'm dying over here.",funny
I really need something cooling.,somewhat_funny
Give me a Frozen Daiquiri.,somewhat_funny
"And you think you have problems,",not_funny
It would mean the world to me for another shot.,not_funny
